add A, r4 | 00000000 6c |l|
add A, @r1 | 00000000 61 |a|
add A, #68 | 00000000 03 44 |.D|
addc A, r6 | 00000000 7e |~|
addc A, @r1 | 00000000 71 |q|
addc A, #88 | 00000000 13 58 |.X|
anl A, r1 | 00000000 59 |Y|
anl A, @r1 | 00000000 51 |Q|
anl A, #163 | 00000000 53 a3 |S.|
anl p2, #33 | 00000000 9a 21 |.!|
anld p7, A | 00000000 9f |.|
call 1276 | 00000000 94 fc |..|
clr A | 00000000 27 |'|
clr C | 00000000 97 |.|
clr f0 | 00000000 85 |.|
clr f1 | 00000000 a5 |.|
cpl A | 00000000 37 |7|
cpl C | 00000000 a7 |.|
cpl f0 | 00000000 95 |.|
cpl f1 | 00000000 b5 |.|
da A | 00000000 57 |W|
dec A | 00000000 07 |.|
dec r5 | 00000000 cd |.|
dis I | 00000000 15 |.|
dis TCNTI | 00000000 35 |5|
djnz r3, 65 | 00000000 eb 41 |.A|
en I | 00000000 05 |.|
en TCNTI | 00000000 25 |%|
ent0 CLK | 00000000 75 |u|
in A, p2 | 00000000 0a |.|
inc A | 00000000 17 |.|
inc r1 | 00000000 19 |.|
inc @r1 | 00000000 11 |.|
ins A, BUS | 00000000 08 |.|
jb0 143 | 00000000 12 8f |..|
jb1 145 | 00000000 32 91 |2.|
jb2 76 | 00000000 52 4c |RL|
jb3 137 | 00000000 72 89 |r.|
jb4 92 | 00000000 92 5c |.\|
jb5 214 | 00000000 b2 d6 |..|
jb6 117 | 00000000 d2 75 |.u|
jb7 185 | 00000000 f2 b9 |..|
jc 188 | 00000000 f6 bc |..|
jf0 69 | 00000000 b6 45 |.E|
jf1 14 | 00000000 76 0e |v.|
jmp 1244 | 00000000 84 dc |..|
jmpp @A | 00000000 b3 |.|
jnc 155 | 00000000 e6 9b |..|
jni 75 | 00000000 86 4b |.K|
jnt0 148 | 00000000 26 94 |&.|
jnt1 175 | 00000000 46 af |F.|
jnz 113 | 00000000 96 71 |.q|
jtf 161 | 00000000 16 a1 |..|
jt0 138 | 00000000 36 8a |6.|
jt1 40 | 00000000 56 28 |V(|
jz 62 | 00000000 c6 3e |.>|
mov A, #160 | 00000000 23 a0 |#.|
mov A, PSW | 00000000 c7 |.|
mov A, r5 | 00000000 fd |.|
mov A, @r1 | 00000000 f1 |.|
mov A, T | 00000000 42 |B|
mov PSW, A | 00000000 d7 |.|
mov r6, A | 00000000 ae |.|
mov r7, #250 | 00000000 bf fa |..|
mov @r0, A | 00000000 a0 |.|
mov @r0, #52 | 00000000 b0 34 |.4|
mov T, A | 00000000 62 |b|
movd A, p6 | 00000000 0e |.|
movd p6, A | 00000000 3e |>|
movp A, @A | 00000000 a3 |.|
movp3 A, @A | 00000000 e3 |.|
movx A, @r1 | 00000000 81 |.|
movx @r0, A | 00000000 90 |.|
nop | 00000000 00 |.|
orl A, r1 | 00000000 49 |I|
orl A, @r0 | 00000000 40 |@|
orl A, #129 | 00000000 43 81 |C.|
orl p1, #253 | 00000000 89 fd |..|
orld p4, A | 00000000 8c |.|
outl BUS, A | 00000000 02 |.|
outl p0, A | 00000000 90 |.|
ret | 00000000 83 |.|
retr | 00000000 93 |.|
rl A | 00000000 e7 |.|
rlc A | 00000000 f7 |.|
rr A | 00000000 77 |w|
rrc A | 00000000 67 |g|
sel MB1 | 00000000 f5 |.|
sel RB1 | 00000000 d5 |.|
stop TCNT | 00000000 65 |e|
strt CNT | 00000000 45 |E|
strt T | 00000000 55 |U|
swap A | 00000000 47 |G|
xch A, r6 | 00000000 2e |.|
xch A, @r0 | 00000000 20 | |
xchd A, @r1 | 00000000 31 |1|
xrl A, r6 | 00000000 de |.|
xrl A, @r1 | 00000000 d1 |.|
xrl A, #115 | 00000000 d3 73 |.s|
