order	#S = immediate (I=1). S = register. #D = immediate (L=1). D = register.  - Assembly Syntax -	- Group -	- Encoding -	- Alias -	* Z = (result == 0). ** If #S and cogex, PC += signed(S). If #S and hubex, PC += signed(S*4). If S, PC = register S.  - Description -	Next Inst Shielded from Interrupt	Clock Cycles (8 cogs)  - Cog Exec Mode - - LUT Exec Mode -	Clock Cycles (8 cogs) * +1 if crosses hub long  - Hub Exec Mode -	Clock Cycles (16 cogs)  - Cog Exec Mode - - LUT Exec Mode -	Clock Cyles (16 cogs) * +1 if crosses hub long  - Hub Exec Mode -	* Data not forwarded.  - Register Write -	- Hub R/W -	- Stack R/W -
1	NOP	Miscellaneous	0000 0000000 000 000000000 000000000	.	No operation.		2	same	2	same			
2	ROR     D,{#}S   {WC/WZ/WCZ}	Math and Logic	EEEE 0000000 CZI DDDDDDDDD SSSSSSSSS	.	Rotate right.           D = [31:0]  of ({D[31:0], D[31:0]}     >> S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[0].  *		2	same	2	same	D		
3	ROL     D,{#}S   {WC/WZ/WCZ}	Math and Logic	EEEE 0000001 CZI DDDDDDDDD SSSSSSSSS	.	Rotate left.            D = [63:32] of ({D[31:0], D[31:0]}     << S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[31]. *		2	same	2	same	D		
4	SHR     D,{#}S   {WC/WZ/WCZ}	Math and Logic	EEEE 0000010 CZI DDDDDDDDD SSSSSSSSS	.	Shift right.            D = [31:0]  of ({32'b0, D[31:0]}       >> S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[0].  *		2	same	2	same	D		
5	SHL     D,{#}S   {WC/WZ/WCZ}	Math and Logic	EEEE 0000011 CZI DDDDDDDDD SSSSSSSSS	.	Shift left.             D = [63:32] of ({D[31:0], 32'b0}       << S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[31]. *		2	same	2	same	D		
6	RCR     D,{#}S   {WC/WZ/WCZ}	Math and Logic	EEEE 0000100 CZI DDDDDDDDD SSSSSSSSS	.	Rotate carry right.     D = [31:0]  of ({{32{C}}, D[31:0]}     >> S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[0].  *		2	same	2	same	D		
7	RCL     D,{#}S   {WC/WZ/WCZ}	Math and Logic	EEEE 0000101 CZI DDDDDDDDD SSSSSSSSS	.	Rotate carry left.      D = [63:32] of ({D[31:0], {32{C}}}     << S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[31]. *		2	same	2	same	D		
8	SAR     D,{#}S   {WC/WZ/WCZ}	Math and Logic	EEEE 0000110 CZI DDDDDDDDD SSSSSSSSS	.	Shift arithmetic right. D = [31:0]  of ({{32{D[31]}}, D[31:0]} >> S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[0].  *		2	same	2	same	D		
9	SAL     D,{#}S   {WC/WZ/WCZ}	Math and Logic	EEEE 0000111 CZI DDDDDDDDD SSSSSSSSS	.	Shift arithmetic left.  D = [63:32] of ({D[31:0], {32{D[0]}}}  << S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[31]. *		2	same	2	same	D		
10	ADD     D,{#}S   {WC/WZ/WCZ}	Math and Logic	EEEE 0001000 CZI DDDDDDDDD SSSSSSSSS	.	Add S into D.                                  D = D + S.        C = carry of (D + S).               *		2	same	2	same	D		
